,Título,Título_original,Genero,Idioma,Actores,Colección/Saga,Duración(min),Lanzamiento,Estado,Origen,Nota,Votos,Ingresos,Presupuesto,Beneficios,id
6731,The Cursed,The Cursed,"['Terror', 'Drama', 'Suspense']",['English'],"['Kelly Reilly', 'Boyd Holbrook', 'Alistair Petrie', 'Amelia Crouch', 'Roxane Duran', 'Max Mackintosh', 'Áine Rose Daly', 'Nigel Betts', 'Stuart Bowman', 'Gary Oliver', 'Kelly Reilly', 'Boyd Holbrook', 'Alistair Petrie', 'Amelia Crouch', 'Roxane Duran', 'Max Mackintosh', 'Áine Rose Daly', 'Nigel Betts', 'Stuart Bowman', 'Gary Oliver']",False,111,2021-07-28,Ya en cines,"['FR', 'GB', 'US']",6.592,272,4588389,0,4588389,630392
6732,Ajuste de cuentas,A Score to Settle,"['Acción', 'Crimen', 'Drama', 'Suspense']",['English'],"['Nicolas Cage', 'Noah Le Gros', 'Karolina Wydra', 'Benjamin Bratt', 'Mohamed Karim', 'Dave Kenneth MacKinnon', 'Ian Tracey', 'Bailey Coppola', 'Zyan Panagopoulos', 'Alex Alegria']",False,103,2019-08-01,Ya en cines,['US'],5.908,469,0,0,0,500922
6733,"Apunta, dispara y corre",Running Scared,"['Acción', 'Comedia', 'Crimen']",['English'],"['Gregory Hines', 'Billy Crystal', 'Steven Bauer', 'Darlanne Fluegel', 'Joe Pantoliano', 'Dan Hedaya', 'Jon Gries', 'Tracy Reed', 'Jimmy Smits', 'John DiSanti', 'Gregory Hines', 'Billy Crystal', 'Steven Bauer', 'Darlanne Fluegel', 'Joe Pantoliano', 'Dan Hedaya', 'Jon Gries', 'Tracy Reed', 'Jimmy Smits', 'John DiSanti']",False,120,1986-06-27,Ya en cines,['US'],6.0,186,0,0,0,15698
6734,Fucking Åmål,Fucking Åmål,"['Comedia', 'Romance', 'Drama']",['Swedish'],"['Alexandra Dahlström', 'Rebecka Liljeberg', 'Erica Carlson', 'Mathias Rust', 'Stefan Hörberg', 'Josefine Nyberg', 'Ralph Carlsson', 'Maria Hedborg', 'Axel Widegren', 'Jill Ung']",False,89,1998-10-23,Ya en cines,['SE'],7.105,491,0,0,0,11634
6735,Lazzaro feliz,Lazzaro felice,"['Drama', 'Fantasía']",['Italian'],"['Adriano Tardiolo', 'Agnese Graziani', 'Luca Chikovani', 'Alba Rohrwacher', 'Sergi López', 'Tommaso Ragno', 'Natalino Balasso', 'Nicoletta Braschi', 'Carlo Massimino', 'Daria Pascal Attolini', 'Adriano Tardiolo', 'Agnese Graziani', 'Luca Chikovani', 'Alba Rohrwacher', 'Sergi López', 'Tommaso Ragno', 'Natalino Balasso', 'Nicoletta Braschi', 'Carlo Massimino', 'Daria Pascal Attolini']",False,125,2018-05-31,Ya en cines,"['DE', 'FR', 'IT', 'CH']",7.402,650,0,0,0,481432
6736,Reencuentro,The Big Chill,"['Comedia', 'Drama']",['English'],"['Tom Berenger', 'Glenn Close', 'Jeff Goldblum', 'William Hurt', 'Kevin Kline', 'Mary Kay Place', 'Meg Tilly', 'JoBeth Williams', 'Don Galloway', 'James Gillis']",False,105,1983-09-30,Ya en cines,['US'],6.87,542,56400000,8000000,48400000,12560
6737,Michael Jackson: Bad 25,Bad,['Música'],['English'],"['Michael Jackson', 'Wesley Snipes', 'Jaime Perry', 'Adam Nathan', 'Pedro Sanchez', 'Gregory Holtz Sr.', 'Paul Calderon', 'Alberto Alejandrino', 'Horace Bailey', 'Marvin Foster']",False,18,1987-08-31,Ya en cines,['US'],7.5,232,0,2000000,-2000000,342381
6738,Especiales,Hors Normes,"['Comedia', 'Drama']",['French'],"['Vincent Cassel', 'Reda Kateb', 'Hélène Vincent', 'Bryan Mialoundama', 'Alban Ivanov', 'Benjamin Lesieur', 'Marco Locatelli', 'Catherine Mouchet', 'Frédéric Pierrot', 'Suliane Brahim']",False,113,2019-10-23,Ya en cines,['FR'],7.8,873,0,0,0,579245
6739,Double Dragon,Double Dragon,"['Acción', 'Aventura', 'Comedia']","['English', 'French']","['Mark Dacascos', 'Scott Wolf', 'Robert Patrick', 'Kristina Wagner', 'Julia Nickson', 'Alyssa Milano', 'Vanna White', 'Nils Allen Stewart', 'Henry Kingi', 'John Asher']",False,90,1994-11-04,Ya en cines,['US'],4.455,313,2341309,3500000,-1158691,2436
6740,Sé lo que hicisteis el último verano 3,I'll Always Know What You Did Last Summer,['Terror'],['English'],"['Brooke Nevin', 'David Paetkau', 'Torrey DeVitto', 'Ben Easter', 'Seth Packard', 'K.C. Clyde', 'Clayton Taylor', 'Michael Flynn', 'Don Shanks', 'Britt Leary']",True,92,2006-06-24,Ya en cines,['US'],4.206,360,0,0,0,3602
